PDU,PDU Name,submitted patients,patients eligible for HbA1c analysis*,Patients used for HbA1c out-come analysis **,Patients excluded from HbA1c outcome analysis,% excluded from HbA1c outcome analysis,% with HbA1c<58 mmol/mol,Mean HbA1c (mmol/mol),Median HbA1c (mmol/mol),% of incomplete records of care processes  except Hba1c
PZ001,"Singleton Hospital, Abertawe Bro Morgannwg University Health Board, Wales",136,133,108,25,18.80%,12.00%,70.3,69.4,30.60%
PZ002,"Norfolk and Norwich University Hospital, Norfolk and Norwich University Hospital Trust, East of England",88,84,56,28,33.30%,12.50%,73.9,68.8,22.30%
PZ004,"Northampton General Hospital,  Northampton General Hospital NHS Trust, East Midlands",211,211,172,39,18.50%,12.80%,72.8,68,39.20%
PZ005,"Derbyshire Children’s Hospital, Derby Hospitals NHS Foundation Trust, East Midlands",257,254,223,31,12.20%,20.60%,70,68,29.10%
PZ006,"Doncaster Royal Infirmary, Doncaster and Bassetlaw Hospitals NHS Foundation Trust, Yorkshire and the Humber",148,145,123,22,15.20%,29.30%,66.2,64.5,23.40%
PZ007,"John Radcliffe Hospital, Oxford Radcliffe Hospitals NHS Trust, South Central",344,340,299,41,12.10%,29.80%,64,63,29.00%
PZ009,"Macclesfield District General Hospital, East Cheshire NHS Trust, North West",96,95,84,11,11.60%,21.40%,69.9,66.3,30.10%
PZ010,"Luton and Dunstable Hospital, Luton and Dunstable Hospital NHS Foundation Trust, East of England",121,116,106,10,8.60%,11.30%,75.5,72.1,38.90%
PZ011,"Glan Clwyd District General Hospital, Besti Cadwaladr University Health Board, Wales",126,126,105,21,16.70%,4.80%,80.3,78,39.90%
PZ012,"Barnet Hospital, Barnet and Chase Farm Hospitals NHS Trust, London and South East",75,75,75,0,0.00%,6.70%,76.2,70.5,56.40%
PZ014,"Chase Farm Hospital, Barnet and Chase Farm Hospitals NHS Trust, London and South East",55,53,47,6,11.30%,12.80%,76.5,73,56.10%
PZ015,"Wythenshawe Hospital, University Hospital of South Manchester NHS Foundation Trust, North West",90,89,55,34,38.20%,10.90%,70.7,67.2,52.00%
PZ016,"Bassetlaw Hospital, Doncaster and Bassetlaw Hospitals NHS Foundation Trust, Yorkshire and the Humber",67,65,58,7,10.80%,24.10%,71.2,68.3,33.80%
PZ017,"Dorset County Hospital, Dorset County Hospital NHS Foundation Trust, South Central",94,92,83,9,9.80%,20.50%,70.6,66.1,22.30%
PZ018,"Worthing Hospital, Western Sussex Hospitals NHS, London and South East",130,129,118,11,8.50%,12.70%,76.4,71.9,21.60%
PZ019,"Basildon Hospital, Basildon and Thurrock University Hospitals NHS Foundation Trust, East of England",234,232,201,31,13.40%,10.50%,75,72.7,73.90%
PZ020,"Diana Princess Of Wales Hospital, Northern Lincolnshire and Goole Hospitals NHS Foundation Trust, Yorkshire and the Humber",114,113,93,20,17.70%,11.80%,78.6,76,30.60%
PZ021,"Wexham Park Hospital, Heatherwood and Wexham Park Hospitals Trust, South Central",167,165,139,26,15.80%,20.10%,71.5,68,39.10%
PZ022,"West Cumberland Hospital, North Cumbria University Hospitals NHS Trust, North West",38,36,34,2,5.60%,5.90%,76.5,68.7,64.80%
